epoch:49 loss:0.225542, acc:0.937500
epoch:49 loss:0.122841, acc:0.947917
epoch:49 loss:0.212813, acc:0.933594
epoch:49 loss:0.153924, acc:0.940625
epoch:49 loss:0.091019, acc:0.950521
epoch:49 loss:0.215531, acc:0.950893
epoch:49 loss:0.116284, acc:0.951172
epoch:49 loss:0.107298, acc:0.953125
epoch:49 loss:0.091297, acc:0.956250
epoch:49 loss:0.085087, acc:0.960227
epoch:49 loss:0.276151, acc:0.954427
epoch:49 loss:0.200058, acc:0.951923
epoch:49 loss:0.121959, acc:0.952009
epoch:49 loss:0.149381, acc:0.952083
epoch:49 loss:0.149094, acc:0.951172
epoch:49 loss:0.160097, acc:0.949449
epoch:49 loss:0.172575, acc:0.948785
epoch:49 loss:0.136756, acc:0.949836
epoch:49 loss:0.125594, acc:0.951563
epoch:49 loss:0.168011, acc:0.950893
epoch:49 loss:0.273954, acc:0.948153
epoch:49 loss:0.195113, acc:0.949049
epoch:49 loss:0.141870, acc:0.950521
epoch:49 loss:0.094190, acc:0.951875
epoch:49 loss:0.099861, acc:0.951923
epoch:49 loss:0.099071, acc:0.951968
epoch:49 loss:0.202797, acc:0.951451
epoch:49 loss:0.087022, acc:0.953125
epoch:49 loss:0.195731, acc:0.953646
epoch:49 loss:0.091866, acc:0.954133
epoch:49 loss:0.173834, acc:0.954102
epoch:49 loss:0.116733, acc:0.954072
epoch:49 loss:0.062412, acc:0.954504
epoch:49 loss:0.293462, acc:0.954018
epoch:49 loss:0.154376, acc:0.954427
epoch:49 loss:0.227988, acc:0.953970
epoch:49 loss:0.071151, acc:0.955181
epoch:49 loss:0.261351, acc:0.955529
epoch:49 loss:0.158441, acc:0.955469
epoch:49 loss:0.077752, acc:0.955793
epoch:49 loss:0.272751, acc:0.955357
epoch:49 loss:0.119304, acc:0.954942
epoch:49 loss:0.164782, acc:0.954901
epoch:49 loss:0.075819, acc:0.955556
epoch:49 loss:0.255092, acc:0.955503
epoch:49 loss:0.181819, acc:0.954122
epoch:49 loss:0.330310, acc:0.952799
epoch:49 loss:0.276174, acc:0.952168
epoch:49 loss:0.144638, acc:0.952187
epoch:49 loss:0.142514, acc:0.952206
epoch:49 loss:0.136453, acc:0.952224
epoch:49 loss:0.171626, acc:0.952241
epoch:49 loss:0.334232, acc:0.951389
epoch:49 loss:0.151879, acc:0.951136
epoch:49 loss:0.177052, acc:0.950335
epoch:49 loss:0.094851, acc:0.950932
epoch:49 loss:0.271508, acc:0.950162
epoch:49 loss:0.046958, acc:0.951006
