epoch:49 loss:0.002796, acc:0.993472
epoch:49 loss:0.007509, acc:0.993516
epoch:49 loss:0.126311, acc:0.993243
epoch:49 loss:0.002800, acc:0.993289
epoch:49 loss:0.012406, acc:0.993333
epoch:49 loss:0.004217, acc:0.993378
epoch:49 loss:0.001244, acc:0.993421
epoch:49 loss:0.016820, acc:0.993464
epoch:49 loss:0.010365, acc:0.993506
epoch:49 loss:0.001516, acc:0.993548
epoch:49 loss:0.011767, acc:0.993590
epoch:49 loss:0.004932, acc:0.993631
epoch:49 loss:0.004858, acc:0.993671
epoch:49 loss:0.093014, acc:0.993612
epoch:49 loss:0.005854, acc:0.993652
epoch:49 loss:0.088025, acc:0.993498
epoch:49 loss:0.008243, acc:0.993538
epoch:49 loss:0.007027, acc:0.993577
epoch:49 loss:0.096668, acc:0.993521
epoch:49 loss:0.017572, acc:0.993466
epoch:49 loss:0.039194, acc:0.993411
epoch:49 loss:0.005678, acc:0.993451
epoch:49 loss:0.027363, acc:0.993397
epoch:49 loss:0.015243, acc:0.993436
epoch:49 loss:0.006348, acc:0.993474
epoch:49 loss:0.022543, acc:0.993512
epoch:49 loss:0.058650, acc:0.993459
epoch:49 loss:0.008724, acc:0.993497
epoch:49 loss:0.009649, acc:0.993535
epoch:49 loss:0.003926, acc:0.993571
epoch:49 loss:0.039386, acc:0.993519
epoch:49 loss:0.002774, acc:0.993556
epoch:49 loss:0.006048, acc:0.993592
epoch:49 loss:0.031395, acc:0.993541
epoch:49 loss:0.015072, acc:0.993576
epoch:49 loss:0.004812, acc:0.993612
epoch:49 loss:0.002639, acc:0.993647
epoch:49 loss:0.003990, acc:0.993682
epoch:49 loss:0.017776, acc:0.993716
epoch:49 loss:0.013690, acc:0.993750
epoch:49 loss:0.005025, acc:0.993784
epoch:49 loss:0.003885, acc:0.993817
epoch:49 loss:0.009161, acc:0.993850
epoch:49 loss:0.020171, acc:0.993882
epoch:49 loss:0.018216, acc:0.993914
epoch:49 loss:0.033116, acc:0.993865
epoch:49 loss:0.005222, acc:0.993896
epoch:49 loss:0.005563, acc:0.993928
epoch:49 loss:0.010435, acc:0.993959
epoch:49 loss:0.004621, acc:0.993990
epoch:49 loss:0.098430, acc:0.993782
epoch:49 loss:0.036681, acc:0.993734
epoch:49 loss:0.005868, acc:0.993766
epoch:49 loss:0.003175, acc:0.993797
epoch:49 loss:0.006158, acc:0.993828
epoch:49 loss:0.002681, acc:0.993859
epoch:49 loss:0.015641, acc:0.993889
epoch:49 loss:0.006338, acc:0.993919
epoch:49 loss:0.004376, acc:0.993949
epoch:49 loss:0.058094, acc:0.993826
epoch:49 loss:0.163285, acc:0.993704
epoch:49 loss:0.057999, acc:0.993584
epoch:49 loss:0.007704, acc:0.993615
epoch:49 loss:0.033568, acc:0.993571
epoch:49 loss:0.003958, acc:0.993601
epoch:49 loss:0.180812, acc:0.993557
epoch:49 loss:0.009593, acc:0.993588
epoch:49 loss:0.004342, acc:0.993618
epoch:49 loss:0.008055, acc:0.993648
epoch:49 loss:0.014782, acc:0.993677
epoch:49 loss:0.065800, acc:0.993634
epoch:49 loss:0.044924, acc:0.993592
epoch:49 loss:0.071731, acc:0.993530
